Year,Obs.Pop,Base.Pop,Base.Lsk,Obs.Lsk
1991,879990,880000,8611969,8041300
1992,887610,885500,8767892,8151700.034
1993,895230,891128,8624762,8321000.035
1994,902860,896883,7903795.5,8962500.138
1995,910480,902768,9746907,10010000
1996,918100,908781,9737961,10703600.09
1997,925730,914925,10771722,10560599.97
1998,933350,921200,10550519,11912600.04
1999,940980,927606,11345416,11876000.02
2000,948600,934144,10554764,10259000.06
2001,956220,940815,9848632,9045800.092
2002,963850,947819,9921542,9580200
2003,971470,955158,9243995,9235200
2004,979100,962834,8828578,9047700
2005,986720,970848,8899119,8306800
2006,994340,979202,8305188.5,8100600
2007,1001970,987898,8037875,7198600
2008,1009590,996938,NA,NA
2009,1017210,1006322,NA,NA
2010,1024840,1016054,NA,NA
2011,1032460,1026134,NA,NA
2012,1040090,1035965,NA,NA
2013,1047710,1045545,NA,NA
